Date,Description,Category,Money In,Money Out,Fee*,Balance
22/03/2025,Stash By Liberty,Savings,2025.0,21.4,,-21.4
24/03/2025,Stash By Liberty,Savings,2025.0,21.6,,-21.6
24/03/2025,Stash By Liberty,Savings,2025.0,21.5,,-21.5
26/03/2025,Stash By Liberty,Savings,2025.0,21.8,,-21.8
26/03/2025,Stash By Liberty,Savings,2025.0,26.7,,-26.7
27/03/2025,Stash By Liberty,Savings,2025.0,21.9,,-21.9
28/03/2025,Stash By Liberty,Savings,2025.0,22.0,,-22.0
30/03/2025,Stash By Liberty,Savings,2025.0,27.1,,-27.1
31/03/2025,Stash By Liberty,Savings,2025.0,22.2,,-22.2
01/01/2023,Lotto Payment Betting/Lottery,Betting/Lottery,78.44,0.5,,78.44
01/01/2023,SMS Notification Fee:,Fees,78.19,0.25,,78.19
02/01/2023,Daily Lotto Winnings Betting/Lottery,Betting/Lottery,87.99,,,87.99
02/01/2023,Live Better Interest Sweep Transfer,Transfer,84.96,3.03,,84.96
03/01/2023,Payment Received: Cashfocus Ee Withdrawal Transfer Other Income,Transfer,484.96,,,484.96
03/01/2023,SMS Notification Fee:,Fees,484.71,0.25,,484.71
04/01/2023,PowerBall Winnings Betting/Lottery,Betting/Lottery,495.51,,,495.51
05/01/2023,Lotto Winnings Betting/Lottery,Betting/Lottery,520.51,,,520.51
06/01/2023,PowerBall Payment Betting/Lottery,Betting/Lottery,475.01,0.5,,475.01
06/01/2023,Daily Lotto Payment Betting/Lottery,Betting/Lottery,444.51,0.5,,444.51
06/01/2023,SMS Notification Fee:,Fees,444.01,0.5,,444.01
7/01/2023,Daily Lotto Winnings Betting/Lottery,Betting/Lottery,449.21,,,449.21
6/02/2023,ATM Cash Deposit:,Cash Deposit,518.49,26.0,,518.49
5/02/2023,Cash Deposit: Cash Dep Dnr White R Dnr Wr Crossing,Cash Deposit,298.03,2.6,,298.03
0/03/2023,PowerBall Payment Betting/Lottery,Betting/Lottery,974.83,1.0,,974.83
5/03/2023,* Includes VAT at 15,Uncategorised,15.0,,,
5/04/2023,* Includes VAT at 15,Uncategorised,15.0,,,
4/04/2023,* Includes VAT at 15,Uncategorised,15.0,,,
5/05/2023,Daily Lotto Winnings Betting/Lottery,Betting/Lottery,523.81,,,523.81
0/05/2023,* Includes VAT at 15,Uncategorised,15.0,,,
1/06/2023,* Includes VAT at 15,Uncategorised,15.0,,,
3/06/2023,SMS Notification Fee:,Fees,11.51,2.4,,11.51
6/06/2023,* Includes VAT at 15,Uncategorised,15.0,,,
3/07/2023,Live Better Round-up Transfer Transfer,Transfer,319.84,8.6,,319.84
2/07/2023,* Includes VAT at 15,Uncategorised,15.0,,,
7/07/2023,* Includes VAT at 15,Uncategorised,15.0,,,
9/08/2023,Lotto Payment Betting/Lottery,Betting/Lottery,843.29,1.5,,843.29
3/08/2023,* Includes VAT at 15,Uncategorised,15.0,,,
1/09/2023,* Includes VAT at 15,Uncategorised,15.0,,,
5/09/2023,* Includes VAT at 15,Uncategorised,15.0,,,
